Gene,Sample,Habitat,Group
AASWND010000057.1_2,GCA_012610505.1_PDT000655786.1_genomic,pig faeces,GroupC
AASWMZ010000002.1_171,GCA_012610555.1_PDT000655783.1_genomic,pig faeces,GroupA
AASWNV010000055.1_24,GCA_012610865.1_PDT000637584.1_genomic,pig faeces,GroupA
AASWPD010000044.1_30,GCA_012611885.1_PDT000637319.1_genomic,pig faeces,GroupA
AASWOS010000041.1_4,GCA_012612025.1_PDT000637321.1_genomic,pig faeces,GroupF
AASWPE010000039.1_5,GCA_012612065.1_PDT000637311.1_genomic,pig faeces,GroupA
AASWOV010000023.1_33,GCA_012612075.1_PDT000637317.1_genomic,pig faeces,GroupA
AASWPP010000093.1_6,GCA_012612165.1_PDT000637305.1_genomic,pig faeces,GroupA
AASWPI010000053.1_3,GCA_012612185.1_PDT000637310.1_genomic,pig faeces,GroupE
AASWTY010000022.1_41,GCA_012614365.1_PDT000630271.1_genomic,pig faeces,GroupA
AASWTZ010000018.1_93,GCA_012614425.1_PDT000630274.1_genomic,pig faeces,GroupC
AASWTX010000099.1_5,GCA_012614445.1_PDT000630275.1_genomic,pig faeces,GroupC
AASWUF010000054.1_6,GCA_012614605.1_PDT000630266.1_genomic,pig faeces,GroupC
AASWVB010000002.1_188,GCA_012614905.1_PDT000628614.1_genomic,pig faeces,GroupA
AASWZG010000002.1_171,GCA_012617385.1_PDT000652080.1_genomic,pig faeces,GroupA
AASWZA010000007.1_171,GCA_012617505.1_PDT000651898.1_genomic,pig faeces,GroupA
AASWYQ010000142.1_5,GCA_012617525.1_PDT000655791.1_genomic,pig faeces,GroupE
AASXBF010000017.1_100,GCA_012617545.1_PDT000624694.1_genomic,pig faeces,GroupA
AASXED010000013.1_41,GCA_012618985.1_PDT000653442.1_genomic,pig faeces,GroupA
AASXEE010000036.1_6,GCA_012619045.1_PDT000655768.1_genomic,pig faeces,GroupA
AASXEG010000015.1_77,GCA_012619125.1_PDT000653443.1_genomic,pig faeces,GroupA
AASXEP010000002.1_188,GCA_012619165.1_PDT000651899.1_genomic,pig faeces,GroupA
AASXEQ010000007.1_180,GCA_012619185.1_PDT000651904.1_genomic,pig faeces,GroupA
AASXEM010000045.1_2,GCA_012619225.1_PDT000651900.1_genomic,pig faeces,GroupA
AASXEK010000004.1_227,GCA_012619305.1_PDT000651901.1_genomic,pig faeces,GroupC
AASXEH010000011.1_88,GCA_012619665.1_PDT000671279.1_genomic,pig faeces,GroupC
AASXCR010000042.1_6,GCA_012620025.1_PDT000664460.1_genomic,pig faeces,GroupB
AASXHF010000011.1_93,GCA_012621055.1_PDT000668366.2_genomic,pig faeces,GroupC
AASXGG010000129.1_5,GCA_012623545.1_PDT000656740.1_genomic,pig faeces,GroupE
AASXGU010000014.1_99,GCA_012623585.1_PDT000664462.1_genomic,pig faeces,GroupA
AASXHB010000013.1_86,GCA_012623625.1_PDT000664461.1_genomic,pig faeces,GroupA
AASXGL010000105.1_4,GCA_012623665.1_PDT000655789.1_genomic,pig faeces,GroupB
AASXGR010000037.1_6,GCA_012623765.1_PDT000653445.1_genomic,pig faeces,GroupC
AASXGX010000001.1_171,GCA_012623785.1_PDT000653447.1_genomic,pig faeces,GroupA
AASXGK010000036.1_6,GCA_012623805.1_PDT000655756.1_genomic,pig faeces,GroupF
AASXNB010000022.1_76,GCA_012625585.1_PDT000656745.1_genomic,pig faeces,GroupA
AASXNH010000001.1_188,GCA_012625625.1_PDT000655798.1_genomic,pig faeces,GroupB
AASYQV010000146.1_6,GCA_012646085.1_PDT000672689.1_genomic,pig faeces,GroupB
AASYRH010000127.1_5,GCA_012646125.1_PDT000672659.1_genomic,pig faeces,GroupF
AASYQX010000049.1_27,GCA_012646165.1_PDT000672684.1_genomic,pig faeces,GroupB
AASYQY010000101.1_6,GCA_012646205.1_PDT000672685.1_genomic,pig faeces,GroupB
AASYRA010000009.1_47,GCA_012646225.1_PDT000672719.1_genomic,pig faeces,GroupB
AASYQT010000047.1_6,GCA_012646265.1_PDT000672723.1_genomic,pig faeces,GroupB
AASYQZ010000066.1_6,GCA_012646285.1_PDT000672678.1_genomic,pig faeces,GroupB
AASYRB010000142.1_4,GCA_012646395.1_PDT000672679.1_genomic,pig faeces,GroupB
AASYRF010000069.1_5,GCA_012646425.1_PDT000672656.1_genomic,pig faeces,GroupB
AASYRQ010000098.1_5,GCA_012646555.1_PDT000672640.1_genomic,pig faeces,GroupB
AASYRU010000006.1_171,GCA_012646585.1_PDT000672646.1_genomic,pig faeces,GroupB
AASYRS010000047.1_6,GCA_012646605.1_PDT000672630.1_genomic,pig faeces,GroupB
AASYRW010000003.1_178,GCA_012646645.1_PDT000672614.1_genomic,pig faeces,GroupB
AASYRV010000042.1_6,GCA_012646685.1_PDT000672619.1_genomic,pig faeces,GroupB
AASYWZ010000037.1_6,GCA_012650005.1_PDT000671288.1_genomic,pig faeces,GroupA
AASYXB010000021.1_61,GCA_012650045.1_PDT000671287.1_genomic,pig faeces,GroupA
AASYXM010000043.1_6,GCA_012651785.1_PDT000671278.1_genomic,pig faeces,GroupF
AASYXH010000039.1_6,GCA_012651865.1_PDT000671286.1_genomic,pig faeces,GroupC
AASYXL010000038.1_6,GCA_012651885.1_PDT000671281.1_genomic,pig faeces,GroupC
AASYXG010000007.1_123,GCA_012651895.1_PDT000671285.1_genomic,pig faeces,GroupA
AASYXI010000012.1_86,GCA_012651925.1_PDT000671282.1_genomic,pig faeces,GroupF
AASWUG010000019.1_93,GCA_012656035.1_PDT000630269.1_genomic,pig faeces,GroupA
AASZFG010000103.1_5,GCA_012657855.1_PDT000672692.1_genomic,pig faeces,GroupB
AASZHJ010000081.1_5,GCA_012658135.1_PDT000668360.2_genomic,pig faeces,GroupA
AASZHB010000091.1_5,GCA_012658255.1_PDT000668381.2_genomic,pig faeces,GroupF
AASZHG010000133.1_5,GCA_012658435.1_PDT000668374.2_genomic,pig faeces,GroupA
AASZHC010000138.1_6,GCA_012658455.1_PDT000668393.2_genomic,pig faeces,GroupA
AASZHH010000003.1_140,GCA_012658475.1_PDT000668367.2_genomic,pig faeces,GroupE
AASZGU010000036.1_5,GCA_012658515.1_PDT000668395.2_genomic,pig faeces,GroupA
AASZGX010000087.1_5,GCA_012658575.1_PDT000668403.2_genomic,pig faeces,GroupA
AASZGY010000090.1_6,GCA_012658675.1_PDT000668384.2_genomic,pig faeces,GroupA
AASZGZ010000049.1_5,GCA_012658715.1_PDT000668382.2_genomic,pig faeces,GroupA
AASZHU010000079.1_6,GCA_012659375.1_PDT000668355.2_genomic,pig faeces,GroupA
AASZIA010000023.1_67,GCA_012659405.1_PDT000668340.2_genomic,pig faeces,GroupA
AASZIC010000099.1_6,GCA_012659425.1_PDT000668345.2_genomic,pig faeces,GroupA
AASZHS010000050.1_27,GCA_012659465.1_PDT000668347.2_genomic,pig faeces,GroupF
AASZIG010000043.1_6,GCA_012659485.1_PDT000668337.2_genomic,pig faeces,GroupF
AASZHW010000097.1_6,GCA_012659505.1_PDT000668339.2_genomic,pig faeces,GroupA
AASZHZ010000040.1_2,GCA_012659545.1_PDT000668338.2_genomic,pig faeces,GroupC
AASZIM010000105.1_5,GCA_012659585.1_PDT000668318.2_genomic,pig faeces,GroupA
AASZKL010000039.1_6,GCA_012661195.1_PDT000671280.1_genomic,pig faeces,GroupB
AASZMQ010000031.1_6,GCA_012663155.1_PDT000655792.1_genomic,pig faeces,GroupA
AASZMT010000028.1_6,GCA_012663365.1_PDT000651909.1_genomic,pig faeces,GroupC
AASZYJ010000034.1_39,GCA_012669665.1_PDT000645161.1_genomic,pig faeces,GroupC
AASZZQ010000013.1_76,GCA_012669925.1_PDT000672683.1_genomic,pig faeces,GroupB
AATBAY010000034.1_5,GCA_012694505.1_PDT000691270.1_genomic,pig faeces,GroupA
AATBCF010000027.1_54,GCA_012694905.1_PDT000679716.2_genomic,pig faeces,GroupB
AATBDJ010000029.1_45,GCA_012695045.1_PDT000690064.1_genomic,pig faeces,GroupA
AATBCA010000114.1_5,GCA_012695065.1_PDT000679715.2_genomic,pig faeces,GroupB
AATBDT010000015.1_107,GCA_012695085.1_PDT000690065.1_genomic,pig faeces,GroupC
AATBEX010000031.1_6,GCA_012695965.1_PDT000689801.1_genomic,pig faeces,GroupA
AATBES010000107.1_5,GCA_012695985.1_PDT000689813.1_genomic,pig faeces,GroupB
AATBFG010000039.1_5,GCA_012696045.1_PDT000689800.1_genomic,pig faeces,GroupF
AATBET010000043.1_9,GCA_012696065.1_PDT000689798.1_genomic,pig faeces,GroupC
AATBEY010000102.1_5,GCA_012696385.1_PDT000689856.1_genomic,pig faeces,GroupA
AATBEK010000036.1_5,GCA_012696445.1_PDT000689887.1_genomic,pig faeces,GroupA
AATBEO010000110.1_6,GCA_012696485.1_PDT000689839.1_genomic,pig faeces,GroupA
AATCSI010000015.1_68,GCA_012754495.1_PDT000691216.1_genomic,pig faeces,GroupC
AATCTK010000105.1_5,GCA_012761975.1_PDT000689823.1_genomic,pig faeces,GroupA
AATCTL010000087.1_6,GCA_012762015.1_PDT000689837.1_genomic,pig faeces,GroupC
AATCTJ010000038.1_5,GCA_012762055.1_PDT000689826.1_genomic,pig faeces,GroupA
AATCTM010000119.1_9,GCA_012762095.1_PDT000689810.1_genomic,pig faeces,GroupB
AATCRX010000023.1_6,GCA_012763115.1_PDT000702621.1_genomic,pig faeces,GroupA
AATCSM010000018.1_83,GCA_012763275.1_PDT000691214.1_genomic,pig faeces,GroupF
AATFVA010000005.1_240,GCA_012774875.1_PDT000690063.1_genomic,pig faeces,GroupE
AATGSA010000007.1_174,GCA_012789735.1_PDT000702624.1_genomic,pig faeces,GroupA
AATJXS010000032.1_5,GCA_012847695.1_PDT000718332.1_genomic,pig faeces,GroupA
AATJXP010000016.1_93,GCA_012847735.1_PDT000718329.1_genomic,pig faeces,GroupE
AATJYE010000039.1_6,GCA_012848455.1_PDT000717612.1_genomic,pig faeces,GroupA
AATJYL010000011.1_89,GCA_012848495.1_PDT000717613.1_genomic,pig faeces,GroupA
AATJXR010000034.1_5,GCA_012848715.1_PDT000718325.1_genomic,pig faeces,GroupC
AATJXK010000007.1_183,GCA_012848835.1_PDT000718334.1_genomic,pig faeces,GroupA
AATJZS010000002.1_174,GCA_012850435.1_PDT000718328.1_genomic,pig faeces,GroupA
AATKAS010000014.1_107,GCA_012851715.1_PDT000717610.1_genomic,pig faeces,GroupA
AATKBK010000025.1_6,GCA_012851875.1_PDT000718324.1_genomic,pig faeces,GroupA
AATKBX010000042.1_27,GCA_012852735.1_PDT000714702.1_genomic,pig faeces,GroupF
AATKET010000008.1_181,GCA_012853095.1_PDT000714644.1_genomic,pig faeces,GroupA
AATKES010000006.1_181,GCA_012853135.1_PDT000714643.1_genomic,pig faeces,GroupA
AATKCT010000038.1_5,GCA_012853275.1_PDT000714699.1_genomic,pig faeces,GroupA
AATKER010000040.1_5,GCA_012853505.1_PDT000714646.1_genomic,pig faeces,GroupA
AATKDQ010000006.1_171,GCA_012853875.1_PDT000714674.1_genomic,pig faeces,GroupC
AATKDS010000098.1_6,GCA_012853955.1_PDT000714673.1_genomic,pig faeces,GroupA
AATKDT010000041.1_4,GCA_012854035.1_PDT000714670.1_genomic,pig faeces,GroupA
AATKIK010000001.1_232,GCA_012858675.1_PDT000722597.1_genomic,pig faeces,GroupA
AATMFY010000037.1_6,GCA_012902645.1_PDT000717609.1_genomic,pig faeces,GroupC
AATMHS010000010.1_42,GCA_012904525.1_PDT000702628.1_genomic,pig faeces,GroupA
AATMFC010000037.1_6,GCA_012906065.1_PDT000722598.1_genomic,pig faeces,GroupF
AATMOU010000038.1_5,GCA_012909425.1_PDT000722600.1_genomic,pig faeces,GroupA
AATMUJ010000012.1_101,GCA_012915105.1_PDT000722590.1_genomic,pig faeces,GroupC
AATMUH010000015.1_88,GCA_012915145.1_PDT000722596.1_genomic,pig faeces,GroupF
AATNFH010000004.1_171,GCA_012923135.1_PDT000722591.1_genomic,pig faeces,GroupA
AATNJE010000001.1_171,GCA_012926135.1_PDT000722589.1_genomic,pig faeces,GroupA
AATNJA010000001.1_171,GCA_012926165.1_PDT000722599.1_genomic,pig faeces,GroupA
AATNJG010000022.1_24,GCA_012926185.1_PDT000722594.1_genomic,pig faeces,GroupC
AATNTJ010000033.1_6,GCA_012969785.1_PDT000728884.1_genomic,pig faeces,GroupF
AATNTL010000007.1_171,GCA_012969805.1_PDT000728883.1_genomic,pig faeces,GroupA
AATNTM010000036.1_6,GCA_012969825.1_PDT000728877.1_genomic,pig faeces,GroupA
AATNTN010000011.1_42,GCA_012969905.1_PDT000728876.1_genomic,pig faeces,GroupA
AATNTH010000001.1_232,GCA_012969945.1_PDT000728880.1_genomic,pig faeces,GroupA
AATOXU010000069.1_5,GCA_013013985.1_PDT000430804.1_genomic,pig faeces,GroupE
AATOYI010000114.1_5,GCA_013014285.1_PDT000430776.1_genomic,pig faeces,GroupE
AATQCK010000005.1_180,GCA_013058765.1_PDT000362391.1_genomic,pig faeces,GroupC
AATROQ010000002.1_174,GCA_013093575.1_PDT000734953.1_genomic,pig faeces,GroupA
AATROP010000040.1_5,GCA_013093585.1_PDT000734952.1_genomic,pig faeces,GroupA
AATRRA010000032.1_5,GCA_013095075.1_PDT000734951.1_genomic,pig faeces,GroupA
AATSXQ010000013.1_85,GCA_013123015.1_PDT000733526.1_genomic,pig faeces,GroupA
AATSXY010000003.1_232,GCA_013123235.1_PDT000733525.1_genomic,pig faeces,GroupF
AATTAG010000005.1_232,GCA_013123765.1_PDT000733334.1_genomic,pig faeces,GroupA
AATTAE010000003.1_171,GCA_013123805.1_PDT000733344.1_genomic,pig faeces,GroupA
AATSYY010000004.1_171,GCA_013123875.1_PDT000733527.1_genomic,pig faeces,GroupA
AATTAF010000005.1_171,GCA_013124045.1_PDT000733339.1_genomic,pig faeces,GroupF
AATTAH010000005.1_107,GCA_013124465.1_PDT000733332.1_genomic,pig faeces,GroupA
AATTAI010000004.1_232,GCA_013124485.1_PDT000733337.1_genomic,pig faeces,GroupA
AATTAD010000002.1_221,GCA_013124505.1_PDT000733340.1_genomic,pig faeces,GroupF
AATTAT010000027.1_5,GCA_013124525.1_PDT000733342.1_genomic,pig faeces,GroupA
AATTAU010000003.1_187,GCA_013124675.1_PDT000733338.1_genomic,pig faeces,GroupA
AATTAV010000004.1_171,GCA_013124705.1_PDT000733333.1_genomic,pig faeces,GroupC
AATTBB010000004.1_171,GCA_013124805.1_PDT000733335.1_genomic,pig faeces,GroupA
AATTHR010000026.1_5,GCA_013128715.1_PDT000733336.1_genomic,pig faeces,GroupA
AATTCF010000004.1_232,GCA_013132155.1_PDT000733330.1_genomic,pig faeces,GroupA
AATTPH010000036.1_6,GCA_013137685.1_PDT000734950.1_genomic,pig faeces,GroupF
AATVZL010000002.1_171,GCA_013453635.1_PDT000792081.1_genomic,pig faeces,GroupA
AAUAUO010000010.1_172,GCA_013517055.1_PDT000785124.2_genomic,pig faeces,GroupA
AAULSR010000006.1_84,GCA_013744895.1_PDT000762084.1_genomic,pig faeces,GroupA
AAULSU010000041.1_2,GCA_013745795.1_PDT000762083.1_genomic,pig faeces,GroupA
AAULSW010000008.1_172,GCA_013745815.1_PDT000762081.1_genomic,pig faeces,GroupA
AAULSY010000060.1_7,GCA_013745835.1_PDT000762082.1_genomic,pig faeces,GroupA
AAULSX010000007.1_171,GCA_013745855.1_PDT000762080.1_genomic,pig faeces,GroupA
AAULSV010000004.1_232,GCA_013745895.1_PDT000762078.1_genomic,pig faeces,GroupA
